pid,round,cpu,wc,ram,logged,decided,agr_rounds,window_top,window_bot,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,40,13501,41275,5504,0,0,0,5152,5183,0,2565,2565,2565,6756,9207,360,418,0,6700,7525,418,360,287,1165,66,7584,7559,7559,65
5,41,13728,42276,5504,0,0,0,5152,5183,0,2910,2910,2910,7660,10510,421,391,0,7217,8075,390,421,174,1224,12,8516,8125,8125,115
5,42,13967,43338,5504,0,0,0,5152,5183,0,2633,2633,2633,7212,10107,391,453,0,6932,7769,454,335,308,1184,57,8096,7733,7733,88
5,43,14227,44342,5504,0,0,0,5152,5183,0,1015,1015,1015,2581,3554,134,189,0,2480,2904,189,190,133,1243,21,2949,2747,2747,7
5,44,14461,45354,5504,0,0,0,5152,5183,0,1498,1498,1498,4245,5723,238,302,0,3774,4359,302,238,169,1240,32,4823,4369,4369,45
5,45,14668,46356,5504,0,0,0,5152,5183,0,2425,2425,2425,6416,8712,380,456,0,6374,7260,456,380,137,1442,28,7302,7239,7239,26
5,46,14897,47365,5504,0,0,0,5152,5183,0,2845,2845,2845,7595,10513,395,490,0,7203,8136,490,395,233,1323,21,8530,8268,8268,158
5,47,15113,48371,5504,0,0,0,5152,5183,0,3027,3027,3027,7713,10649,455,391,0,7752,8647,391,455,164,1480,22,8604,8489,8489,0
5,48,15330,49377,5504,0,0,0,5152,5183,0,2308,2308,2308,5955,8318,275,323,0,6016,6628,323,241,329,1291,43,6517,6656,6656,36
5,49,15555,50381,5504,0,0,0,5152,5183,0,2625,2625,2625,6986,9575,348,472,0,6674,7573,472,382,152,1398,17,7850,7619,7619,82
5,50,15766,51384,5504,0,0,0,5152,5183,0,2622,2622,2622,6772,9386,424,502,0,6865,7826,502,409,117,1390,19,7747,7774,7774,34
5,51,15990,52392,5504,0,0,0,5152,5183,0,2944,2944,2944,7742,10733,328,511,0,7246,8150,511,343,318,1319,38,8461,8182,8182,66
5,52,16238,53400,5504,0,0,0,5152,5183,0,2093,2093,2093,5681,7943,279,306,0,5292,5923,306,279,69,1309,8,6311,5864,5864,7
5,53,16481,54405,5504,0,0,0,5152,5183,0,1923,1923,1923,4834,6675,287,352,0,4908,5595,352,287,139,1319,19,5523,5600,5600,13
5,54,16695,55416,5504,0,0,0,5152,5183,0,2542,2542,2542,6760,9267,363,479,0,6527,7387,479,333,320,1273,37,7647,7579,7579,205
5,55,16918,56424,5504,0,0,0,5152,5183,0,2159,2159,2158,6037,8390,284,370,0,5846,6556,370,293,170,1273,24,6733,6398,6398,49
5,56,17133,57430,5504,0,0,0,5152,5183,0,1799,1799,1799,4742,6435,305,303,0,4648,5294,303,293,254,1380,33,5400,5340,5340,116
5,57,17351,58438,5504,0,0,0,5152,5183,0,2477,2477,2477,6329,8843,333,370,0,6268,7049,370,366,124,1428,19,7035,7022,7022,107
5,58,17569,59443,5504,0,0,0,5152,5183,0,2739,2739,2739,7253,9937,377,298,0,7525,8202,298,329,269,1399,49,7856,8136,8136,79
5,59,17786,60444,5504,0,0,0,5152,5183,0,1957,1957,1957,5299,7267,306,354,0,4805,5561,354,354,66,1563,13,6004,5538,5538,56
5,60,18011,61449,5504,0,0,0,5152,5183,0,1997,1997,1997,5153,7106,244,321,0,4887,5499,321,244,97,1562,21,5767,5545,5545,101
5,61,18231,62459,5504,0,0,0,5152,5183,0,1959,1959,1958,5413,7503,294,383,0,5592,6315,383,294,103,1568,19,6140,6292,6292,78
5,62,18476,63464,5504,0,0,0,5152,5183,0,2422,2422,2422,6316,8606,406,476,0,6285,7216,476,406,82,1834,22,7243,7152,7152,14
5,63,18678,64467,5504,0,0,0,5152,5183,0,2584,2584,2584,6881,9503,375,450,0,6816,7691,450,375,162,1735,15,7756,7739,7739,62
5,64,18893,65473,5504,0,0,0,5152,5183,0,1660,1660,1660,4436,6217,260,330,0,4336,4967,330,255,58,1752,10,5054,4979,4979,74
5,65,19133,66476,5504,0,0,0,5152,5183,0,3146,3146,3146,8185,11249,361,413,0,7900,8724,413,361,177,1774,28,9009,8745,8745,95
5,66,19311,67477,5504,0,0,0,5152,5183,0,1739,1739,1738,4742,6710,276,398,0,4534,5257,398,276,0,1718,0,5465,5161,5161,0
5,67,19323,68478,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,68,19344,69478,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,69,19358,70479,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,49,0,0,0,1718,0,50,50,50,1
5,70,19373,71479,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,45,49,49,0
5,71,19388,72480,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,72,19401,73480,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1718,0,50,50,50,4
5,73,19412,74480,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,46,46,0
5,74,19422,75481,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,75,19434,76481,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,76,19445,77482,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,77,19460,78482,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,78,19476,79483,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,79,19486,80483,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
