pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
2,48,11351,49102,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,49,11363,50103,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,50,11374,51104,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,51,11388,52105,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,52,11404,53106,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,119,0,50,50,50,1
2,53,11416,54107,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,119,0,50,50,50,2
2,54,11429,55107,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,49,49,1
2,55,11441,56108,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,45,49,49,0
2,56,11453,57109,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,57,11465,58109,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,58,11479,59110,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,59,11495,60111,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,60,11510,61118,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,61,11527,62119,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,62,11540,63120,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,63,11555,64121,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,64,11568,65122,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,65,11580,66124,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,48,0,0,0,119,0,50,50,50,2
2,66,11592,67127,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,49,49,1
2,67,11600,68128,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,50,50,1
2,68,11610,69128,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,119,0,50,50,50,2
2,69,11618,70130,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,119,0,50,48,48,0
2,70,11626,71131,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,119,0,50,49,49,0
2,71,11635,72138,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,119,0,45,47,47,0
5,0,337,1018,4352,245,250,549,3,1,246,266,276,549,4005,4304,4005,11138,15020,412,598,0,9861,10920,598,412,231,169,37,12198,11070,11070,150
5,1,573,2027,4480,204,212,436,33,1,450,470,480,436,3261,3148,3261,8330,11372,363,298,0,8837,9548,298,363,305,72,43,9009,9555,9555,250
5,2,809,3028,4480,228,217,473,32,178,678,698,708,473,3250,3473,3250,9126,12793,301,331,0,8583,9265,331,301,99,82,7,9808,9024,9024,9
5,3,1050,4029,4480,187,185,369,28,365,865,886,896,369,2921,2991,2921,7700,10981,277,323,0,7482,8130,323,277,24,77,5,8350,8140,8140,19
5,4,1279,5030,4480,196,195,414,33,561,1061,1081,1091,414,3283,2964,3283,7381,10244,379,348,0,8502,9221,348,321,445,123,58,8157,9340,9340,138
5,5,1545,6030,4480,226,245,492,41,787,1287,1308,1318,492,3325,3248,3325,8665,11989,339,264,0,8793,9504,264,397,120,148,21,9318,9388,9388,23
5,6,1755,7032,4480,206,193,420,27,993,1493,1513,1523,419,3247,2946,3248,7469,10368,317,255,0,8060,8680,255,317,246,91,47,8086,8807,8807,149
5,7,2007,8033,4480,274,268,560,40,1267,1767,1787,1797,560,3532,3360,3532,8368,11411,364,200,0,9434,10048,200,364,238,260,18,8982,9917,9917,20
5,8,2215,9035,4480,172,172,333,34,1439,1939,1961,1971,333,2520,2679,2520,7186,10182,284,280,0,6606,7220,280,284,52,117,5,7800,7236,7236,38
5,9,2442,10036,4480,208,209,441,53,1647,2147,2169,2179,441,3160,3102,3160,8053,11014,356,247,0,8288,8911,247,327,266,140,29,8706,8905,8905,36
5,10,2676,11036,4480,217,222,456,41,1864,2364,2384,2394,456,3155,3309,3155,8651,11730,226,295,0,8210,8810,295,255,452,173,25,9222,8822,8822,48
5,11,2935,12037,4480,187,196,415,25,2051,2551,2572,2582,415,3061,3183,3061,8596,12169,312,330,0,7890,8580,330,312,150,86,25,9259,8532,8532,0
5,12,3138,13038,4480,194,179,370,27,2245,2745,2765,2775,370,2666,2734,2666,6751,9380,259,255,0,6795,7358,255,259,146,72,7,7315,7381,7381,23
5,13,3416,14038,4480,240,240,510,21,2485,2985,3005,3015,510,3598,3819,3598,9955,13675,311,449,0,9082,9891,449,311,293,93,18,10765,9953,9953,85
5,14,3674,15044,4480,214,230,430,11,2699,3199,3220,3230,430,3152,3309,3152,8993,12477,261,300,0,8377,8988,300,261,101,152,6,9604,8891,8891,0
