pid,round,cpu,wc,ram,seq_nr,log_r,urb_s,urb_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
3,4,1313,5053,7168,2048,3808,256,2138,476,2138,2380,2138,9838,13462,17,10,0,4365,4406,10,10,426,1766,2,9910,4367,4367,0
3,5,1484,6437,7168,0,3216,0,1720,548,1720,2740,1720,10739,12662,16,8,0,3623,3654,8,8,574,2569,1,10804,3658,3658,4
3,6,1754,7438,7792,8192,12712,1024,4197,1536,4197,7680,4197,9931,18028,18,29,0,7998,8067,29,13,419,2336,1,10008,8143,8143,80
3,7,2259,8439,8944,16384,18624,2048,6917,2048,6917,10240,6917,17697,29187,33,28,0,16023,16110,28,33,479,2132,4,17808,16179,16179,149
3,8,2875,9442,10548,18432,23120,2304,9146,3328,9146,16640,9146,20352,35315,40,33,0,17734,17836,33,40,1135,2667,4,20475,18265,18265,578
3,9,3485,10445,12048,10240,24632,1280,9316,2993,9316,14965,9315,22152,36525,40,41,0,20000,20108,41,39,1042,2755,6,22267,19669,19669,139
3,10,4090,11446,13200,8192,25824,1024,9071,2854,9071,14270,9071,22045,38396,54,49,0,19784,19907,49,47,741,2554,4,22199,19786,19786,19
3,11,4646,12448,14872,10240,27352,1280,10597,3625,10597,18125,10597,26853,43989,62,69,0,22338,22483,69,50,1189,2602,5,26999,22755,22755,365
3,12,5247,13451,16664,12288,26600,1536,10242,3650,10242,18246,10243,23023,40778,56,53,0,18413,18550,53,59,901,3068,7,23182,18380,18380,195
3,13,5843,14468,18200,5792,26200,724,9343,2808,9343,14040,9343,18051,33183,61,56,0,15451,15589,56,54,1194,3285,6,18212,15822,15822,431
3,14,6426,15477,19480,0,25320,0,9425,3102,9425,15510,9425,21948,37781,39,41,0,20249,20363,41,44,469,3532,7,22075,20310,20310,378
3,15,6974,16480,21016,0,23904,0,8784,2914,8784,14570,8784,22668,37843,36,31,0,18977,19067,31,32,872,3219,3,22780,19281,18923,239
3,16,7499,17482,22712,0,28176,0,10481,3431,10481,17158,10480,25815,42996,48,42,0,20955,21074,42,48,813,3903,4,25951,20832,20832,4
3,17,7733,18483,23096,0,10032,0,3740,1243,3740,6215,3740,10583,17855,23,15,0,9263,9330,15,23,0,3528,0,10671,9321,9321,0
3,18,7741,19483,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,19,7751,20483,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3528,0,50,30,30,1
3,20,7768,21484,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,45,29,29,0
3,21,7775,22484,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,22,7785,23485,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,23,7795,24487,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,24,7802,25487,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,25,7810,26487,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,26,7818,27488,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,27,7824,28488,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3528,0,50,30,30,1
3,28,7832,29489,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3528,0,50,30,30,2
3,29,7843,30489,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,28,28,0
3,30,7855,31491,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,31,7869,32492,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,32,7881,33493,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,33,7893,34495,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,34,7906,35496,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
3,35,7919,36498,23096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3528,0,50,30,30,0
1,0,174,1044,5888,2048,10240,256,5846,1280,5846,6400,5846,10534,15205,59,60,0,7130,7254,60,40,391,1296,10,10683,7254,7254,0
1,1,400,2047,6144,2048,4632,256,3242,1024,3242,5120,3242,9773,15887,29,22,0,5239,5303,22,32,878,183,11,9844,5365,5365,170
1,2,586,3048,6400,4096,5608,512,2429,776,2429,3880,2429,8724,12965,31,15,0,5231,5276,15,12,1012,234,13,8795,5106,5106,0
1,3,833,4050,7168,0,10240,0,3877,760,3877,3800,3877,15396,20609,45,17,0,6942,6996,17,25,1239,643,8,15488,6995,6995,0
