pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
3,18,7531,23433,5376,768,6144,25336,768,3167,3840,3167,10759,14208,57,42,0,5040,5109,42,27,449,3906,4,8553,6936,4797,1732
3,19,7944,24440,5376,768,6144,38832,768,4855,3840,4854,11898,16067,51,54,0,9776,9857,54,27,1171,4397,7,12002,10304,8211,86
3,20,8296,25446,5376,512,4096,33520,512,4190,2560,4190,10783,13594,48,32,0,9202,9264,32,30,558,5170,3,10841,10214,9223,50
3,21,8561,26454,5376,418,3344,25864,418,3232,2090,3233,5732,8817,59,17,0,5663,5700,17,20,1162,4146,9,5808,9554,7693,2044
3,22,8740,28026,5376,350,2800,23816,350,2977,1750,2977,58,58,103,13,0,6511,6555,13,31,428,4644,2,100,5635,4911,400
3,23,9160,29036,5504,768,6144,31560,768,3946,3840,3945,11835,16082,45,35,0,8031,8106,35,40,0,5511,0,11913,8810,7604,25
3,24,9516,30057,5504,768,6144,39904,768,4987,3840,4988,12134,15915,51,44,0,8248,8319,44,27,895,5522,6,12227,10881,8766,473
3,25,9901,31058,5504,768,6144,34376,768,4298,3840,4297,13617,17601,47,36,0,8619,8681,36,26,1458,5851,6,13700,11000,8256,48
3,26,10217,32070,5632,768,6144,37048,768,4630,3840,4631,10903,14750,54,35,0,9795,9866,35,36,507,5481,5,10992,11579,11117,1299
3,27,10625,33085,5632,1024,8192,37072,1024,4635,5120,4634,12876,17786,53,31,0,8871,8940,31,38,201,5818,5,12939,9562,7670,84
3,28,11006,34092,5632,768,6144,34352,768,4293,3840,4294,12560,16203,51,47,0,8183,8263,47,33,633,5687,6,12658,10820,9531,1352
3,29,11394,35100,5632,1024,8192,37624,1024,4704,5120,4703,12497,17802,56,81,0,10510,10640,81,49,591,7018,6,12630,10907,9316,56
3,30,11773,36107,5632,1024,8192,33800,1024,4224,5120,4225,13245,18608,67,49,0,7650,7747,49,48,146,6674,5,13362,10130,8363,675
3,31,12120,37114,5632,891,7120,37848,891,4732,4452,4731,8441,12790,54,81,0,9531,9661,81,49,411,7852,3,8508,9073,9036,66
3,32,12487,38121,5632,901,7216,33576,901,4196,4508,4197,12770,17361,60,40,0,6626,6704,40,38,634,7647,6,12870,10597,8443,1805
3,33,12868,39128,5632,768,6144,37784,768,4724,3840,4723,12475,16576,49,44,0,9084,9168,44,40,551,9401,4,12420,9690,7435,72
3,34,13226,40136,5632,1024,8192,33640,1024,4204,5120,4205,11248,15664,58,57,0,7095,7187,57,35,791,9190,7,11364,8490,7911,796
3,35,13607,41165,5760,768,6144,36496,768,4563,3840,4562,11064,14870,63,50,0,8685,8786,50,51,324,9592,4,10907,10629,7559,80
3,36,13991,42173,5760,1024,8192,34928,1024,4365,5120,4366,14361,19958,51,39,0,7625,7703,39,39,483,9721,5,14451,9385,9035,1412
3,37,14394,43189,5760,1024,8192,47376,1024,5923,5120,5922,11697,17016,76,49,0,11811,11924,49,64,803,10724,8,11819,12125,10602,92
3,38,14783,44215,5760,1280,10240,45688,1280,5682,6400,5681,12524,18235,72,66,0,9679,9807,66,62,905,11405,6,12604,10499,9965,301
3,39,15114,45220,5760,768,6144,34576,768,4322,3840,4322,12341,16111,67,59,0,8858,8970,59,53,368,11777,4,12467,10986,8753,85
3,40,15524,46222,5760,1024,8192,39016,1024,4827,5120,4828,13410,18766,53,56,0,8943,9038,56,39,341,12274,6,13519,9475,9380,428
3,41,15917,47276,5760,1024,8192,45744,1024,5719,5120,5718,12455,17833,79,67,0,10058,10191,67,66,748,12584,8,11280,9865,8936,158
3,42,16352,48286,5888,1127,9016,44624,1127,5578,5635,5578,13288,19199,60,56,0,10345,10458,56,57,241,13386,7,13404,11094,10306,6
3,43,16690,49295,5888,665,5320,37008,517,4626,2585,4626,11650,14812,57,91,0,8687,8828,91,50,62,14408,1,11798,9364,8608,8
3,44,17041,50305,5888,1024,8192,45432,1024,5679,5120,5679,10449,15992,70,45,0,11485,11592,45,62,39,13809,3,10564,11635,11583,0
3,45,17480,51311,5888,1536,12288,46040,1536,5755,7680,5755,15333,23028,45,59,0,10186,10285,59,40,969,14610,6,15437,10395,10395,111
3,46,17875,52318,5888,1280,10240,43040,1280,5379,6400,5380,12829,18598,68,49,0,9982,10082,49,51,775,15584,10,12946,12588,12014,2044
3,47,18283,53329,6016,1280,10240,47616,1280,5952,6400,5952,14884,21376,82,59,0,11358,11477,59,60,847,15964,10,15009,11912,11017,1584
3,48,18638,54332,6016,1024,8192,47616,1024,5952,5120,5952,10137,15476,53,56,0,9899,10015,56,60,875,16639,6,10245,10549,9975,1559
3,49,18998,55354,6016,768,6144,43672,768,5460,3840,5459,12235,16396,68,46,0,10708,10804,46,50,719,17747,8,11582,11439,9442,479
3,50,19343,56386,6016,1024,8192,38650,1024,4715,5120,4715,12223,16187,52,59,0,9669,9774,59,46,525,18180,3,12334,10169,9312,21
3,51,19815,57387,6016,1280,10240,36718,1280,4589,6400,4589,14777,21265,57,45,0,9444,9527,45,38,508,18075,6,14859,10816,9730,224
3,52,20207,58394,6016,768,6144,32376,768,4048,3840,4048,11823,15556,62,49,0,8734,8811,49,28,777,18383,5,11910,11177,8846,276
3,53,20616,59399,6016,1024,8192,39048,1024,4846,5120,4846,12814,18471,55,41,0,8765,8845,41,39,392,18410,7,12910,11439,9661,1092
3,54,21022,60408,6016,1280,10240,47488,1280,5937,6400,5936,13385,19552,50,43,0,12015,12101,43,43,527,19201,6,13444,13238,11308,311
3,55,21391,61418,6016,768,6144,40880,768,5095,3840,5094,14047,18400,58,48,0,10214,10319,48,57,163,19974,7,14059,10705,9950,0
3,56,21715,62427,6016,852,6808,38280,852,4681,4257,4681,14460,18808,62,38,0,9976,10048,38,34,202,20056,1,14560,12497,10115,67
3,57,22116,63440,6016,1196,9576,44728,1024,5444,5120,5444,14692,19802,75,69,0,10273,10395,69,53,999,20727,7,14780,10697,10218,0
3,58,22481,64454,6016,1280,10240,42896,1280,5361,6400,5362,16580,23370,62,45,0,10920,11008,45,43,175,20246,5,16687,13501,11913,905
3,59,22875,65493,6016,1024,8192,43872,1024,5485,5120,5484,12073,17290,49,56,0,9440,9533,56,37,528,20493,7,11687,10374,8251,118
3,60,23257,66503,6016,766,6120,40744,766,5093,3826,5093,11718,15505,60,63,0,8890,9003,63,50,1024,20877,8,11841,9103,9103,227
3,61,23660,67510,6144,1026,8216,34424,1024,4302,5120,4303,13244,18313,56,40,0,8287,8368,40,41,458,20782,7,13298,10741,10046,1915
3,62,24027,68518,6144,1024,8192,47616,1024,5713,5120,5713,11853,17031,60,81,0,11234,11381,81,66,755,21306,5,11964,10810,10519,1065
3,63,24409,69575,6272,512,4096,23808,512,2976,2560,2976,9474,12118,60,36,0,5593,5653,36,24,972,21388,8,9440,6769,5814,1567
3,64,24768,70593,6272,213,1696,13720,213,1716,1065,1715,4355,5003,66,40,0,3963,4031,40,28,75,22452,4,4445,4717,2445,0
3,65,25107,71602,6272,555,4448,33896,512,4236,2560,4237,10848,14164,50,22,0,7019,7066,22,25,752,21701,5,10919,10399,8756,1693
3,66,25528,72611,6272,768,6144,31080,768,3886,3840,3885,12890,16913,44,32,0,7591,7647,32,24,320,22457,5,12933,9759,5902,4
3,67,25881,73618,6272,1024,8192,40344,1024,5042,5120,5043,12475,17051,69,42,0,8223,8316,42,51,640,22030,7,12586,10965,9354,1043
3,68,26287,74643,6272,815,6520,36432,815,4555,4075,4554,13220,18469,62,63,0,8936,9031,63,32,125,22753,2,13219,10325,7907,126
3,69,26618,75646,6400,788,6296,36152,788,4423,3938,4423,11630,14978,39,33,0,9459,9512,33,20,768,23292,3,11473,11814,9375,37
3,70,27118,76661,6400,1725,13808,42856,1652,5342,8263,5342,14740,22488,44,74,0,10017,10133,74,42,785,24173,7,14841,10089,10089,0
3,71,27626,77663,6400,1280,10240,27408,1280,3425,6400,3426,20324,27313,32,44,0,7576,7648,44,28,126,23733,1,20400,9566,7999,352
3,72,28544,78668,6400,2304,18432,18664,2304,2334,11520,2333,24786,36249,10,55,0,4242,4307,55,10,256,24144,1,24747,3934,3934,2
3,73,28696,79669,6400,292,2336,2336,292,292,1460,292,3290,6159,2,14,0,482,499,14,3,0,23759,0,3306,497,497,0
3,74,28705,80669,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,75,28714,81670,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,76,28720,82670,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
