pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
2,26,2139,27089,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,27,2148,28089,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,28,2154,29090,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,29,2158,30091,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,30,2161,31092,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,31,2172,32093,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,32,2180,33094,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,33,2188,34094,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
10,0,154,1023,4480,3072,24576,0,3072,0,11006,13310,0,20,0,0,20,20,0,0,1428,0,11026,20,20,0
10,1,296,2051,4608,4608,36864,0,4608,0,14628,19105,0,18,0,0,18,18,0,0,1698,0,14390,20,20,2
10,2,468,3056,4608,2560,20480,0,2560,0,8967,11537,0,24,0,0,24,24,0,0,2517,0,8991,22,22,0
10,3,637,4058,4608,4864,38912,0,4864,0,15348,20129,0,26,0,0,26,26,0,0,2902,0,15374,26,26,0
10,4,767,5059,4608,3840,30720,0,3840,0,12903,16896,0,19,0,0,19,19,0,0,3164,0,12922,19,19,0
10,5,878,6064,4608,2816,22528,0,2816,0,10287,12935,0,16,0,0,16,16,0,0,3935,0,10303,16,16,0
10,6,1064,7074,4736,5376,43008,0,5376,0,15867,21371,0,34,0,0,34,34,0,0,4498,0,15894,27,27,0
10,7,1222,8077,4736,6400,51200,0,6400,0,18531,24834,0,28,0,0,28,28,0,0,5827,0,18356,28,28,0
10,8,1353,9079,4736,3840,30720,0,3840,0,13247,17045,0,20,0,0,20,20,0,0,6813,0,13235,20,20,0
10,9,1482,10080,4736,3584,28672,0,3584,0,12334,16140,0,28,0,0,28,28,0,0,7542,0,12362,28,28,0
10,10,1623,11081,4736,4237,33896,0,4237,0,13074,17191,0,24,0,0,24,24,0,0,8189,0,13098,24,24,0
10,11,1771,12082,4864,4467,35736,0,4467,0,15049,19427,0,23,0,0,23,23,0,0,9918,0,14933,23,23,0
10,12,1901,13084,5120,4864,38912,0,4864,0,14526,19353,0,27,0,0,27,27,0,0,11814,0,14553,27,27,0
10,13,2034,14086,5120,3584,28672,0,3584,0,12449,16046,0,26,0,0,26,26,0,0,12447,0,12472,29,29,3
10,14,2170,15087,5120,4096,32768,0,4096,0,14242,18409,0,17,0,0,17,17,0,0,13560,0,14259,14,14,0
10,15,2185,16088,5120,292,2336,0,292,0,1202,2336,0,9,0,0,9,9,0,0,13955,0,1211,9,9,0
10,16,2187,17090,5120,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,17,2192,18091,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,18,2196,19092,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,19,2200,20092,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,20,2205,21092,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,21,2207,22093,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,22,2211,23093,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,23,2220,24094,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,24,2227,25095,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,25,2233,26096,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,26,2241,27097,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,27,2250,28098,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,28,2257,29099,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,29,2265,30100,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,30,2270,31101,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,31,2277,32102,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,32,2283,33103,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
10,33,2301,34104,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13860,0,0,0,0,0
5,0,140,1017,4352,2816,22528,0,2816,0,10769,12788,0,18,0,0,18,18,0,0,1361,0,10787,18,18,0
5,1,239,2020,4608,3072,24576,0,3072,0,10245,13236,0,24,0,0,24,24,0,0,2328,0,10269,24,24,0
5,2,336,3022,4608,2048,16384,0,2048,0,8332,10240,0,21,0,0,21,21,0,0,2707,0,8353,21,21,0
5,3,396,4024,4608,1536,12288,0,1536,0,5242,6871,0,16,0,0,16,16,0,0,2958,0,5258,16,16,0
5,4,477,5025,4608,2304,18432,0,2304,0,8059,10511,0,20,0,0,20,20,0,0,3048,0,8079,20,20,0
5,5,600,6027,4608,2560,20480,0,2560,0,8662,11193,0,18,0,0,18,18,0,0,3633,0,8680,18,18,0
5,6,661,7038,4736,1757,14056,0,1757,0,7089,8951,0,19,0,0,19,19,0,0,4122,0,6852,19,19,0
5,7,773,8044,4864,3875,31000,0,3875,0,12366,16135,0,25,0,0,25,25,0,0,5413,0,12390,25,25,0
5,8,860,9044,4864,3072,24576,0,3072,0,10980,14069,0,26,0,0,26,26,0,0,5325,0,11006,26,26,0
5,9,968,10046,4864,3840,30720,0,3840,0,12476,16294,0,22,0,0,22,22,0,0,5664,0,12498,22,22,0
5,10,1075,11052,4864,3072,24576,0,3072,0,8841,11788,0,30,0,0,30,30,0,0,6589,0,8871,30,30,0
